title,href,subhead,image,premium,byline,type
"Germany blames Russia for airport drone incident, hits back with sanctions",https://www.lemonde.fr/en/germany/article/2026/09/01/germany-blames-russia-for-airport-drone-incident-hits-back-with-sanctions_6757058_146.html,"Germany's Interior Minister Alexander Dobrindt said that after assessing the drone technology used and other intelligence, 'the government concludes that Russia is responsible for the hybrid attack in Leipzig on August 4.'",https://img.lemde.fr/2026/09/01/0/0/7326/4884/400/266/75/0/2f41a00_ftp-1-ute6u6tmomg7-86bbd17dd028488a9d4cc42e1ad00635-0-6e370156c6f04cd8bfce86d8c4c804c1.jpg,,,
Accelerated melting of Arctic ice opens up new commercial shipping route,https://www.lemonde.fr/en/economy/article/2026/09/01/accelerated-melting-of-arctic-ice-opens-up-new-commercial-shipping-route_6757059_19.html,,https://img.lemde.fr/2026/08/31/0/0/5074/3382/398/265/75/0/ba544f2_upload-1-2ymv3zfz6u6c-000-c4rf49k.jpg,Subscribers only,,
"US sees rising opposition to Flock, a network of 120,000 vehicle-identifying cameras",https://www.lemonde.fr/en/international/article/2026/09/01/us-sees-rising-opposition-to-flock-a-network-of-120-000-vehicle-identifying-cameras_6757054_4.html,,https://img.lemde.fr/2026/08/06/0/0/4000/2666/398/265/75/0/3e62fc6_ftp-1-tbqjvhjjztba-2026-08-06t054653z-908653142-rc2jsmazq3yv-rtrmadp-3-tech-flock.JPG,Subscribers only,,
French schools face 'unprecedented challenge' of accelerating demographic decline,https://www.lemonde.fr/en/france/article/2026/09/01/french-schools-face-unprecedented-challenge-of-accelerating-demographic-decline_6757042_7.html,"As the steep decline in student enrollment continues at the start of the 2026 school year, the Education Ministry and local authorities are seeking new planning strategies to prevent 'school deserts.'",https://img.lemde.fr/2026/08/28/787/0/3667/2444/398/265/75/0/8796768_upload-1-botukpsg6ta5-ad012-ecolede-savoirs-dsc00403.jpg,Subscribers only,,
Billionaire Bolloré files complaint against judges for 'criminal conspiracy' after order to stand trial for corruption,https://www.lemonde.fr/en/france/article/2026/09/01/billionaire-bollore-files-complaint-against-judges-for-criminal-conspiracy-after-order-to-stand-trial-for-corruption_6757048_7.html,"In a last-ditch effort to postpone his trial for corruption in Togo, scheduled for December 7 to 17, billionaire industrialist Vincent Bolloré filed a criminal complaint in May against several judges for 'obstructing the course of justice.'",https://img.lemde.fr/2026/08/31/0/0/6000/4000/398/265/75/0/0f696b9_upload-1-onefrrxdvr64-ap24073806915514.jpg,Subscribers only,,
French YouTuber Lena Situations wraps up successful vlog series in sold-out Paris show,https://www.lemonde.fr/en/pixels/article/2026/09/01/french-youtuber-lena-situations-wraps-up-successful-vlog-series-in-sold-out-paris-show_6757052_13.html,"In front of an audience of 20,000, the French-Algerian content creator wrapped up the tenth and final season of her successful YouTube series 'August Vlogs' on Monday, August 31, with a show at the Accor Arena in Paris.",https://img.lemde.fr/2025/12/10/871/0/2000/1333/398/265/75/0/cd5efbb_upload-1-zkqdahl2nawp-paris-creator-weekle-monde-dunne-odhran15.jpg,Subscribers only,,
Venice Film Festival 2026 opens amid controversy,https://www.lemonde.fr/en/culture/article/2026/09/01/venice-film-festival-2026-opens-amid-controversy_6757060_30.html,"The 83rd edition of the event has already sparked strong criticism with low American representation, an almost complete absence of female directors in the competition and the selection of the controversial 'DAU' by Russian filmmaker Ilya Khrzhanovsky.",https://img.lemde.fr/2026/08/27/0/0/8256/5504/664/442/75/0/8512d4a_upload-1-zjuqkx4j6qw7-000-73ly6c4.jpg,Subscribers only,Boris Bastide,In Depth
War becomes the new normal in the Strait of Hormuz,https://www.lemonde.fr/en/international/article/2026/09/01/war-becomes-the-new-normal-in-the-strait-of-hormuz_6757029_4.html,,https://img.lemde.fr/2026/08/26/0/0/5499/3666/198/132/95/0/90fe1b8_ftp-1-3a1vai1hb0nd-2026-08-26t175535z-1108723801-rc2e6na355bg-rtrmadp-3-iran-crisis-hormuz.JPG,Subscribers only,,
How French PM Sébastien Lecornu hopes to pass a minimalist budget for 2027,https://www.lemonde.fr/en/politics/article/2026/09/01/how-french-pm-sebastien-lecornu-hopes-to-pass-a-minimalist-budget-for-2027_6757043_5.html,,https://img.lemde.fr/2026/08/30/876/2125/2702/1801/198/132/95/0/d83b560_upload-1-xgl9fi7vq16j-ad032-lab-rep-dsc04734.jpg,Subscribers only,,
Explosion near a power plant in Germany: Attack on power grid under investigation,https://www.lemonde.fr/en/international/article/2026/09/01/explosion-near-a-power-plant-in-germany-attack-on-power-grid-under-investigation_6757053_4.html,,https://img.lemde.fr/2026/09/01/0/255/5157/3438/198/132/95/0/cb4cc4d_ftp-1-gojr3nzi25rc-5969179-01-06.jpg,,,
"China-Nepal flood toll tops 1,000 as tunnel rescue offers last hope",https://www.lemonde.fr/en/international/article/2026/09/01/china-nepal-flood-toll-tops-1-000-as-tunnel-rescue-offers-last-hope_6757040_4.html,,https://img.lemde.fr/2026/09/01/0/0/4822/3215/198/132/95/0/0bab5a1_ftp-1-6yjpdu5k0t7f-5967649-01-06.jpg,,,
"Even at Elysée, phones are handed in, Macron tells French pupils",https://www.lemonde.fr/en/france/article/2026/09/01/even-at-elysee-phones-are-handed-in-macron-tells-french-pupils_6757056_7.html,,,,,
Vanuatu seeks ICJ case vs France over disputed islands,https://www.lemonde.fr/en/international/article/2026/09/01/vanuatu-seeks-icj-case-vs-france-over-disputed-islands_6757057_4.html,,,,,
"UK ex-PM Starmer to quit parliament, focus on 'international affairs'",https://www.lemonde.fr/en/international/article/2026/09/01/uk-ex-pm-starmer-to-quit-parliament-focus-on-international-affairs_6757047_4.html,,,,,
International students turn away from Canadian universities as immigration rules tighten,https://www.lemonde.fr/en/international/article/2026/09/01/international-students-turn-away-from-canadian-universities-as-immigration-rules-tighten_6757031_4.html,,,Subscribers only,,
"Edouard Balladur, former French prime minister, dies at age 97",https://www.lemonde.fr/en/obituaries/article/2026/08/31/edouard-balladur-former-french-prime-minister-dies-at-age-97_6757025_15.html,,,Subscribers only,,
French rail start-up wins license to compete on high-speed lines,https://www.lemonde.fr/en/france/article/2026/09/01/french-rail-start-up-wins-license-to-compete-on-high-speed-lines_6757041_7.html,,,,,
Former gang member found guilty of murdering rap icon Tupac Shakur,https://www.lemonde.fr/en/culture/article/2026/09/01/former-gang-member-found-guilty-of-murdering-rap-icon-tupac-shakur_6757037_30.html,,,,,
"'With a promise, the future becomes the present': Hope takes shape in Barcelona's public squares",https://www.lemonde.fr/en/summer-reads/article/2026/09/01/with-a-promise-the-future-becomes-the-present-hope-takes-shape-in-barcelona-s-public-squares_6757039_183.html,,,Subscribers only,,
'The hardest report I've ever done': Photographing young girls sold by their parents in Afghanistan,https://www.lemonde.fr/en/culture/article/2026/09/01/the-hardest-report-i-ve-ever-done-photographing-young-girls-sold-by-their-parents-in-afghanistan_6757038_30.html,"The Visa pour l'Image festival in Perpignan, southern France, is exhibiting journalist Elise Blanchard's photographs from her latest report in the country ruled by the Taliban, where she lived from 2018 to 2025.",https://img.lemde.fr/2026/08/25/0/0/2125/1417/664/442/75/0/bc006df_upload-1-idtla1mvt8uf-blanchard-se-cheresse-003.JPG,Subscribers only,Emmanuelle Lequeux,Conversation
'No regulation exists:' Suez Canal becomes gateway for invasive species in the Mediterranean,https://www.lemonde.fr/en/summer-reads/article/2026/08/31/no-regulation-exists-suez-canal-becomes-gateway-for-invasive-species-in-the-mediterranean_6757001_183.html,"'Suez, a historic canal' (6/6). The opening of a passage between the Red Sea and the Mediterranean led to migrations of 'Lessepsian' species, named after the canal's developer, Ferdinand de Lesseps. Their proliferation, which destabilizes ecosystems, has increased due to overfishing, pollution, coastal building and climate change.",https://img.lemde.fr/2026/08/04/0/0/4500/3000/664/442/75/0/d5589f3_upload-1-iegrmaq12hmg-mh1-0114.jpg,Subscribers only,Samuel Forey,Feature
'Even our ancestors do not remember a flood of this scale:' Nepal villagers face apocalypse frozen in mud,https://www.lemonde.fr/en/environment/article/2026/08/31/even-our-ancestors-do-not-remember-a-flood-of-this-scale-nepal-villagers-face-apocalypse-frozen-in-mud_6756998_114.html,"Warned in time, many residents of Devighat managed to evacuate their homes just minutes before the mudslide killed over 900 people in Nepal and China. They have started to return to the village, where rescuers are still looking for survivors and the deceased in extremely perilous conditions.",https://img.lemde.fr/2026/08/29/0/0/5472/3648/664/442/75/0/0ac77f5_ftp-1-cpgylausq6a1-88b58f8d51284d0e98fe5420a08c50d5-0-313967a24b784bfea4f00a759d258fe1.jpg,Subscribers only,Carole Dieterich,Feature
Donald Trump's outdated imperialism in Venezuela,https://www.lemonde.fr/en/opinion/article/2026/09/01/donald-trump-s-outdated-imperialism-in-venezuela_6757045_23.html,,,,Le Monde,Editorial
'It is just as wrong to make social media the sole cause of adolescent distress as it is to deny its power to amplify it',https://www.lemonde.fr/en/opinion/article/2026/09/01/it-is-just-as-wrong-to-make-social-media-the-sole-cause-of-adolescent-distress-as-it-is-to-deny-its-power-to-amplify-it_6757030_23.html,,,Subscribe,Pierre Fourneret,Op-Ed
Demographic decline in French schools represents a historic opportunity to be debated,https://www.lemonde.fr/en/opinion/article/2026/08/31/demographic-decline-in-french-schools-represents-a-historic-opportunity-to-be-debated_6757012_23.html,,,,Le Monde,Editorial
